code,interlevel,location,original,
10000000,Reg,REGION I,FALSE,
10000000,Reg,ILOCOS REGION,FALSE,
10000000,Reg,REGION I (ILOCOS REGION),TRUE,
10000000,Reg,REGION 1,FALSE,
12800000,Prov,ILOCOS NORTE,TRUE,
12801000,Mun,ADAMS,TRUE,
12801001,Bgy,Adams (Pob.),FALSE,
12802000,Mun,BACARRA,TRUE,
12802001,Bgy,Bani,TRUE,
12802002,Bgy,Buyon,TRUE,
12802003,Bgy,Cabaruan,TRUE,
12802004,Bgy,Cabulalaan,TRUE,
12802005,Bgy,Cabusligan,TRUE,
12802006,Bgy,Cadaratan,TRUE,
12802007,Bgy,Calioet-Libong,TRUE,
12802008,Bgy,Casilian,TRUE,
12802009,Bgy,Corocor,TRUE,
12802011,Bgy,Duripes,TRUE,
12802012,Bgy,Ganagan,TRUE,
12802013,Bgy,Libtong,TRUE,
12802014,Bgy,Macupit,TRUE,
12802015,Bgy,Nambaran,TRUE,
12802016,Bgy,Natba,TRUE,
12802017,Bgy,Paninaan,TRUE,
12802018,Bgy,Pasiocan,TRUE,
12802019,Bgy,Pasngal,TRUE,
12802020,Bgy,Pipias,TRUE,
12802021,Bgy,Pulangi,TRUE,
12802022,Bgy,Pungto,TRUE,
12802024,Bgy,San Agustin 1,FALSE,
12802024,Bgy,San Agustin I (Pob.),FALSE,
12802024,Bgy,San Agustin I,TRUE,
12802025,Bgy,San Agustin II,TRUE,
12802025,Bgy,San Agustin 2,FALSE,
12802025,Bgy,San Agustin II (Pob.),FALSE,
12802027,Bgy,San Andres I (Pob.),FALSE,
12802027,Bgy,San Andres I,TRUE,
12802027,Bgy,San Andres 1,FALSE,
12802028,Bgy,San Andres II (Pob.),FALSE,
12802028,Bgy,San Andres 2,FALSE,
12802028,Bgy,San Andres II,TRUE,
12802030,Bgy,San Gabriel 1,FALSE,
12802030,Bgy,San Gabriel I (Pob.),FALSE,
12802030,Bgy,San Gabriel I,TRUE,
12802031,Bgy,San Gabriel II,TRUE,
12802031,Bgy,San Gabriel 2,FALSE,
12802031,Bgy,San Gabriel II (Pob.),FALSE,
12802033,Bgy,San Pedro I,TRUE,
12802033,Bgy,San Pedro I (Pob.),FALSE,
12802033,Bgy,San Pedro 1,FALSE,
12802034,Bgy,San Pedro II,TRUE,
12802034,Bgy,San Pedro II (Pob.),FALSE,
12802034,Bgy,San Pedro 2,FALSE,
12802036,Bgy,San Roque 1,FALSE,
12802036,Bgy,San Roque I,TRUE,
12802036,Bgy,San Roque I (Pob.),FALSE,
12802037,Bgy,San Roque 2,FALSE,
12802037,Bgy,San Roque II (Pob.),FALSE,
12802037,Bgy,San Roque II,TRUE,
12802039,Bgy,San Simon 1,FALSE,
12802039,Bgy,San Simon I,TRUE,
12802039,Bgy,San Simon I (Pob.),FALSE,
12802040,Bgy,San Simon II (Pob.),FALSE,
12802040,Bgy,San Simon 2,FALSE,
12802040,Bgy,San Simon II,TRUE,
12802041,Bgy,San Vicente,TRUE,
