CODE,PRO,MUR,HOM,PHY_INJ,RAPE,TOTAL,ROB,THEFT,MV,MC,CATTLE_RUSTLING,TOTAL,TOTAL_INDEX_CRIMES,AVERAGE_MONTHLY_INDEX_CRIMES,RIRT_HOM,RIRT_PHY_INJ,RIRT_DTP,VIOL_OF_SPECIAL_LAWS,OTHER_NON_INDEX_CRIMES,TOTAL_NON_INDEX_CRIMES,TOTAL_CRIME_VOLUME,AVERAGE_MONTHLY_CRIME_RATE,M,MONTH,YEAR,POPULATION
10000000,1,31,9,83,29,152,15,54,0,10,3,82,234,4.5,52,390,528,542,177,1689,"1,923",36.98,1,January,2018,5026128
20000000,2,15,7,82,32,136,35,45,0,20,0,100,236,6.61,53,207,226,131,146,763,999,27.97,1,January,2018,3451410
30000000,3,43,10,137,84,274,108,148,6,78,1,341,615,5.3,80,833,884,841,320,"2,958","3,573",30.78,1,January,2018,11218177
40000000,4A,88,13,194,100,393,141,216,7,82,0,446,839,5.63,71,575,968,803,274,"2,691","3,530",23.67,1,January,2018,14414774
170000000,4B,10,5,33,24,72,15,21,0,4,1,41,113,3.69,17,61,29,146,53,306,419,13.67,1,January,2018,2963360
50000000,5,33,8,108,34,183,61,230,1,25,3,320,503,8.39,21,432,475,450,225,"1,603","2,108",35.11,1,January,2018,5796989
60000000,6,35,16,138,31,220,54,101,1,10,1,167,387,4.96,51,374,607,476,228,"1,736","2,123",27.23,1,January,2018,4477247
70000000,7,47,15,313,52,427,180,600,3,52,1,836,"1,263",16.5,34,1033,1688,885,615,"4,255","5,518",72.1,1,January,2018,6041903
80000000,8,21,7,90,39,157,27,66,0,4,1,98,255,5.55,14,137,92,220,75,538,793,17.26,1,January,2018,4440150
90000000,9,39,6,74,37,156,67,153,1,29,0,250,406,10.81,14,221,190,222,112,759,"1,165",31.02,1,January,2018,3629783
100000000,10,29,11,97,30,187,41,94,0,30,1,166,333,6.86,36,174,202,356,138,906,"1,239",25.54,1,January,2018,4689302
110000000,11,39,8,106,40,193,65,90,1,11,0,167,360,7.13,33,131,93,503,124,884,"1,244",24.64,1,January,2018,4893318
120000000,12,23,40,81,25,169,73,108,0,59,2,242,"2,411",8.7,40,313,288,371,122,"1,134","1,545",32.85,1,January,2018,4545276
160000000,13,20,3,42,18,83,36,46,1,12,0,95,178,6.62,18,120,102,220,66,526,704,26.2,1,January,2018,2596709
150000000,ARMM,32,3,20,4,59,9,5,2,8,0,24,83,2.17,6,12,4,51,30,103,186,4.87,1,January,2018,3781387
140000000,CAR,10,3,25,18,56,11,25,1,3,0,40,96,5.39,11,129,245,66,64,515,611,34.29,1,January,2018,1722006
130000000,NCR,64,17,359,112,552,272,457,14,87,0,830,"1,382",10.37,24,"1,172","6,168","1,255",708,"9,327","10,709",80.37,1,January,2018,12877253
10000000,1,22,5,93,31,151,27,59,0,11,1,98,249,4.79,42,403,498,882,174,1999,"2,248",43.23,2,February,2018,5026128
20000000,2,11,4,75,39,129,14,39,1,10,1,65,194,5.43,37,221,187,140,127,712,906,25.37,2,February,2018,3451410
30000000,3,41,3,117,88,249,93,155,3,39,2,292,541,4.66,56,712,863,765,297,"2,693","3,234",27.86,2,February,2018,11218177
